atrium, rotunda, courtyard, foyer, atria, ventricle, staircase, second-floor, light-filled, colonnade, entryway
watering, planting, fertilizing, irrigation, lawns, drip, mowing, sprinkler, garden, weeding, misting
banquet, luncheon, dinner, gala, buffet, reception, ceremony, hall, dining, supper, ballroom
skyscraper, high-rise, tallest, tower, supertall, skyline, highrise, cityscape, 40-story, Burj, 20-story
volcano, volcanic, eruption, lava, crater, caldera, Merapi, magma, Eyjafjallajökull, geyser, Kilauea
formal, informal, semi-formal, appropriate, elaborate, structured, attire, practical, brief, customary, consideration
cockpit, fuselage, starboard, airplane, aircraft, aft, rudder, foredeck, pilothouse, cabin, hangar
balcony, terrace, veranda, verandah, porch, overlooking, courtyard, patio, lanai, upstairs, kitchenette
pantry, cupboard, kitchen, closets, cabinets, larder, refrigerator, fridge, laundry, freezer, walk-in
loft, bedroom, attic, townhouse, bungalow, basement, upstairs, penthouse, apartment, garage, condo
closet, wardrobe, pantry, bathroom, cupboard, basement, dresser, upstairs, laundry, kitchen, hallway
sushi, sashimi, ramen, seafood, tempura, nigiri, pizza, burger, sandwiches, noodle, tapas
jail, prison, sentenced, probation, convicted, arrested, inmate, felony, detention, imprisonment, guilty
beauty, glamour, splendor, gorgeous, natural, magnificence, elegance, loveliness, allure, exquisite, makeup
course, courses, well, teaching, training, instructor, learning, taught, lesson, there, classes
downtown, midtown, city, neighborhood, streets, uptown, waterfront, mall, town, plaza, bustling
eating, food, eaten, ate, meal, diet, snacking, drinking, craving, meat, habits
cottage, farmhouse, bungalow, bedroom, self-catering, villa, rustic, house, townhouse, barn, guesthouse
conference, meeting, symposium, keynote, seminar, roundtable, convention, presentation, attendees, lecture, workshop
railroad, railway, locomotive, rail, freight, trains, streetcar, highway, interurban, telegraph, tramway
badlands, canyons, buttes, prairies, mesas, hoodoos, desert, moonscape, slickrock, plains, rushmore
trench, overcoat, double-breasted, dug, trenchcoat, jacket, coat, ditch, excavation, insulating, digging
gymnasium, auditorium, gym, sauna, solarium, cafeteria, playground, swimming, hall, aerobics, dormitory
sandbox, multiplayer, mmo, themepark, singleplayer, sandpit, minecraft, open-world, bot, single-player, playground
airplane, plane, aircraft, aeroplane, flying, flight, airliner, helicopter, jet, takeoff, aviation
tower, skyscraper, spire, building, tallest, castle, dome, fortress, roof, high-rise, atop
landfill, waste, incinerator, recycling, disposal, wastewater, sewage, leachate, stormwater, reclamation, garbage
mosque, Masjid, minaret, imam, Muslim, synagogue, Islamic, shrine, Moslem, madrassa, Al-Aqsa
airfield, aerodrome, airstrip, airbase, hangar, aircraft, heliport, RAF, airdrome, airspace, taxiway
lecture, seminar, presentation, symposium, colloquium, keynote, introductory, professor, workshop, conference, thesis
chamber, inlet, passageway, pressurized, cavity, assembly, cylinder, combustion, valve, disposed, hollow
room, upstairs, downstairs, floor, bathroom, hallway, bedroom, lounge, desk, dining, hall
amusement, amusements, attraction, recreation, thrill, parks, excitement, enjoyment, entertainment, fairground, playground
escalator, elevator, stairs, stairwell, stairway, staircase, walkway, subway, turnstile, travelator, handrail
area, surrounding, region, vicinity, located, adjacent, nearby, outside, places, within, where
shelf, shelves, drawer, bookcase, cupboard, bookshelf, rack, cabinets, tray, bookshelves, storage
jewelry, jewelery, jewellery, necklaces, earrings, bracelets, jewlery, pendants, jewerly, sterling, gemstone
lighthouse, lighthouses, pier, cove, harbour, harbor, shore, headland, breakwater, island, beacon
campus, campuses, university, faculty, on-campus, college, students, school, off-campus, undergraduate, alumni
lagoon, waters, ocean, shoreline, beaches, ponds, marina, reef, lake, estuary, shore
porch, patio, veranda, balcony, verandah, fireplace, courtyard, driveway, gazebo, sunroom, roof
pagoda, stupa, Shwedagon, chedi, temple, shrine, mausoleum, Thien, octagonal, roofed, spire
drugstore, pharmacy, walgreens, prescription, walmart, perscription, pharmacist, cosmetics, Rite-Aid, otc, over-the-counter
fountain, pond, waterfall, marble, courtyard, statuary, garden, statue, water, pool, birdbath
attic, basement, loft, crawlspace, roof, chimney, porch, upstairs, garage, closet, insulation
soccer, football, basketball, volleyball, hockey, softball, tennis, lacrosse, baseball, rugby, sports
patio, porch, gazebo, terrace, fireplace, garden, veranda, courtyard, sunroom, balcony, backyard
storage, storing, space, containers, capacity, disk, compartment, removable, hardware, shelf, rack
manufactured, marketed, engineered, fabricated, products, supplied, commercially, constructed, designed, sold, produced
promenade, seafront, esplanade, stroll, seaside, boardwalk, boulevard, walkway, sea-front, pedestrianised, waterside
television, TV, Television, tv, broadcast, t.v., aired, radio, televison, channels, entertainment
ball, throw, kick, bounce, volley, bowling, swing, hoop, toss, basket, foul
berth, semis, quarterfinals, clinched, semifinals, semi-finals, play-off, playoff, championship, sleeper, postseason
public, private, government, municipal, governmental, community, education, publicly, federal, citizens, state
field, feild, position, team, ground, career, research, where, path, second, third
ski, snowboard, skiers, mountain, piste, alpine, snowmobile, snow, slopes, downhill, backcountry
legislative, legislature, congressional, constitutional, judicial, Senate, lawmakers, reform, committee, governmental, amendment
classroom, curriculum, teachers, students, learning, teaching, kindergarten, school, educational, elementary, instructional
food, meal, eating, meat, cooking, snacks, seafood, vegetables, restaurant, dishes, nutrition
tree, forest, shrubs, pine, leaf, bushes, willow, twig, garden, vine, sapling
golf, tennis, golfers, 18-hole, sports, fairway, club, bowling, polo, volleyball, PGA
base, bottom, plate, solid, core, surface, ground, top, structure, center, edge
palace, royal, castle, mansion, temple, citadel, imperial, courtyard, fortress, tomb, palatial
aqueduct, aquaduct, viaduct, canal, watercourse, outfall, cistern, amphitheatre, footbridge, waterway, basilica
wood, hardwood, wooden, oak, timber, pine, cedar, plywood, bamboo, birch, flooring
raceway, speedway, racetrack, dragstrip, dragway, motorsports, racecourse, fairgrounds, racing, nhra, autocross
supermarket, grocery, grocer, deli, Aldi, bakery, Tesco, shopping, Safeway, mall, stores
studying, teaching, studing, researching, learning, graduate, taught, undergraduate, students, exploring, pursuing
waiting, awaiting, soon, hoping, next, ready, finally, patiently, before, going, coming
arts, martial, artistic, education, teaching, exhibitions, humanities, theatre, crafts, workshops, cultural
restaurant, eatery, dining, cuisine, bistro, cafe, resturant, restuarant, diner, buffet, dinner
coast, coastline, coastal, inland, southern, shore, south, beaches, island, northern, north
arena, stadium, venue, coliseum, crowd, hall, amphitheater, rink, marketplace, hockey, amphitheatre
stable, stability, unstable, relatively, steady, maintain, consistent, long-term, robust, reliable, solid
assembly, mounting, actuator, components, hinge, mechanism, apparatus, chamber, coupling, comprising, clamp
pub, tavern, cafe, restaurant, bar, beer, brewery, diner, café, eatery, bistro
cabin, room, lodge, porch, cottage, cockpit, spacious, bunk, tent, chalet, camper
lawn, grass, mower, garden, mowing, landscaping, backyard, lawnmower, yard, turf, mulch
arcade, pinball, tetris, games, platformer, coin-op, puzzle, multiplayer, Sega, side-scrolling, gameplay
beer, drink, brew, lager, brewery, ale, booze, whiskey, pint, wine, beverage
raft, canoe, kayak, boat, dinghy, rowboat, whitewater, pontoon, paddling, inflatable, capsized
athletic, basketball, sports, collegiate, football, soccer, volleyball, atheletic, softball, varsity, athleticism
throne, reign, king, kingdom, prince, ascended, emperor, heir, coronation, monarch, enthroned
building, built, construction, brick, renovation, house, structures, concrete, tower, roof, residential
stage, onstage, phase, concert, performing, musical, rehearsal, theatre, show, step, before
pasture, grazing, cattle, paddocks, meadow, pastureland, livestock, grassland, farmland, arable, forage
discotheque, discothèque, night-club, discos, nightclub, discoteque, clubbing, bar/restaurant, night-life, cafe-bar, restaurant/bar
windmill, turbines, waterwheel, watermill, lighthouse, wind, windfarm, barn, farm, mill, vane
chemistry, biochemistry, biology, physics, chemical, science, molecular, microbiology, physiology, pharmacology, mathematics
dock, pier, boat, wharf, barge, mooring, ship, marina, shore, ferry, harbor
forest, woodland, trees, rainforest, vegetation, woods, habitat, grassland, forestry, pine, wildlife
coffee, espresso, tea, cappuccino, Coffee, latte, drinks, chocolate, cafe, beverage, iced
bridge, crossing, river, footbridge, viaduct, overpass, roadway, tunnel, highway, pier, railroad
cafeteria, lunchroom, canteen, lunches, gymnasium, auditorium, café, diner, dormitory, restaurant, buffet
pet, dog, cat, puppy, animal, canine, kitten, kennel, ferret, kitty, grooming
bus, buses, busses, taxi, train, tram, airport, station, minibus, subway, route
fastfood, fast-food, mcdonalds, McDs, macdonalds, Jollibee, McDo, restaraunt, quick-serve, restuarant, restraunt
underwater, undersea, dive, scuba, submerged, reef, deep-sea, ocean, marine, submarine, under-water
booth, expo, tradeshow, attendees, exhibitor, showroom, kiosk, hall, raffle, venue, convention
salon, hairdresser, spa, barber, stylist, manicure, hair, pedicure, beautician, hairstylist, hairstyling
staircase, stairway, staircases, stairs, stairwell, foyer, hallway, balustrade, entryway, walkway, banister
oilrig, oil-rig, oil-drilling, roustabout, scaffolder, roughneck, Deepwater, oil-well, Macondo, pipline, oilwell
studio, artist, recording, productions, post-production, creative, house, producer, music, suite, theatre
landing, takeoff, take-off, flying, airplane, aircraft, flight, flew, plane, runway, helicopter
grotto, cavern, cave, shrine, catacombs, stalactite, chapel, cloister, basilica, cave-like, waterfall
music, songs, tunes, jazz, musicians, dance, instrumental, listen, piano, sound, soundtrack
ring, diamond, bracelet, necklace, earrings, pendant, jewelry, silver, sterling, gold, bangle
rope, ladder, bungee, hook, leash, webbing, twine, pull, cords, braided, hanging
rodeo, roping, bronc, cowboy, cowgirls, bullriding, bronco, chuckwagon, ranch, PRCA, horse
indoor, outdoor, indoor/outdoor, swimming, pool, sauna, backyard, garden, patio, playground, rooftop
gym, fitness, workout, aerobics, gymnasium, cardio, work-out, exercise, jogging, swimming, sauna
garage, basement, carport, driveway, doors, house, patio, parking, roof, porch, attic
paddy, sugarcane, maize, rice, irrigated, crops, cassava, taro, plantations, cultivation, kharif
exterior, interior, roof, facade, stucco, walls, façade, trim, doors, decorative, surfaces
kitchen, bathroom, pantry, dining, cupboards, dishwasher, cabinets, bedroom, room, downstairs, stove
cliff, rocky, precipice, steep, ledge, canyon, hill, gorge, climb, cave, ravine
mezzanine, ground-floor, second-floor, staircase, alcove, terrace, veranda, foyer, stairway, first-floor, open-plan
living, life, home, people, residing, family, house, dwelling, lifestyle, room, bedroom
toyshop, toystore, sweetshop, toymaker, toy-shop, Hamleys, stors, fun-fair, front-room, smyths, toybox
ocean, sea, waters, shore, beach, coast, lagoon, coastal, tides, reef, tropical
canyon, creek, valley, gorge, ridge, cliffs, mountain, ravine, lake, rocky, river
performance, perfomance, performace, reliability, efficiency, improved, outstanding, production, exceptional, overall, peformance
operating, systems, maintaining, revenue, devices, existing, based, facility, infrastructure, computers
sauna, jacuzzi, solarium, spa, hammam, whirlpool, pool, gymnasium, tub, swimming, massage
phone, cellphone, telephone, mobile, handset, voicemail, cell, call, smartphone, dialing, fax
terminal, port, connected, connector, signal, bus, station, terminus, configured, input/output, switch
kasbah, Taourirt, Benhaddou, ksar, riad, souk, caravanserai, casbah, Ouarzazate, medina, mud-brick
natural, all-natural, beauty, organic, mineral, artificial, pure, herbal, man-made, oils, synthetic
shopping, mall, store, grocery, shoppers, supermarket, boutiques, retail, bargains, trendy, shoping
castle, fortress, palace, manor, medieval, chateau, mansion, knights, abbey, ruins, tower
islet, beta-cell, insulin-producing, pancreatic, pancreas, transplantation, autoimmunity, Langerhans, exocrine, insulinoma, insulin-secreting
airport, flights, taxi, Heathrow, shuttle, hotel, aiport, airline, LAX, bus, transportation
gift, keepsake, birthday, personalized, special, valentine, christmas, baskets, greeting, favors, wonderful
laundromat, laundrymat, launderette, laundrette, laundry, mini-mart, coin-operated, dry-cleaning, laundramat, restroom, carwash
beach, seaside, sandy, beachfront, resort, ocean, coast, seashore, shore, sand, beachside
basketball, volleyball, football, soccer, Basketball, softball, baseball, lacrosse, hockey, tennis, athletics
outdoor, indoor, patio, indoor/outdoor, garden, backyard, pool, swimming, picnic, dining, playground
shower, bathroom, tub, bathtub, toilet, bath, towel, jacuzzi, kitchen, washroom, room
galley, dinette, starboard, pilothouse, portside, companionway, stateroom, kitchenette, aft, kitchen, cockpit
orchestra, symphony, orchestral, soloist, choir, piano, choral, quartet, violin, Philharmonic, symphonic
waterfall, waterfalls, cascading, pond, river, canyon, fountains, gorge, lagoon, ravine, lake
home, house, living, apartment, bedroom, family, residence, kitchen, out, own, life
neighborhood, neighbourhood, neighbors, downtown, streets, suburb, suburban, residents, city, town, community
bathroom, shower, kitchen, toilet, bedroom, bath, bathtub, tub, room, washroom, downstairs
school, college, elementary, teacher, students, kindergarten, education, highschool, university, classroom, teaching
hot, sexy, sizzling, wet, pussy, horny, steamy, babe, hottest, naked, asian
deep, deeper, deepest, depth, deeply, shallow, thick, dark, wide, long, beneath
